mode: set
notifuse/server/cmd/keygen/main.go:12.13,27.43 8 0
notifuse/server/internal/http/user_handler.go:41.2,41.30 1 1
notifuse/server/internal/http/user_handler.go:41.30,43.17 2 1
notifuse/server/internal/http/user_handler.go:43.17,46.4 2 1
notifuse/server/internal/http/user_handler.go:48.3,53.9 3 1
notifuse/server/internal/http/user_handler.go:56.2,56.65 1 1
notifuse/server/internal/http/user_handler.go:56.65,59.3 2 1
notifuse/server/internal/http/user_handler.go:61.2,64.4 2 1
notifuse/server/internal/http/user_handler.go:67.74,69.63 2 1
notifuse/server/internal/http/user_handler.go:69.63,72.3 2 0
notifuse/server/internal/http/user_handler.go:74.2,75.16 2 1
notifuse/server/internal/http/user_handler.go:75.16,78.3 2 1
notifuse/server/internal/http/user_handler.go:80.2,81.37 2 1
notifuse/server/internal/http/user_handler.go:85.78,88.28 2 1
notifuse/server/internal/http/user_handler.go:88.28,91.3 2 1
notifuse/server/internal/http/user_handler.go:94.2,95.16 2 1
notifuse/server/internal/http/user_handler.go:95.16,98.3 2 1
notifuse/server/internal/http/user_handler.go:101.2,102.16 2 1
notifuse/server/internal/http/user_handler.go:102.16,105.3 2 1
notifuse/server/internal/http/user_handler.go:108.2,114.37 3 1
notifuse/server/internal/http/user_handler.go:117.58,125.8 4 1
notifuse/server/internal/http/user_handler.go:125.8,132.3 3 1
notifuse/server/internal/http/utils.go:11.76,17.2 3 1
notifuse/server/internal/http/workspace_handler.go:28.173,34.2 1 1
notifuse/server/internal/http/workspace_handler.go:65.66,69.2 3 1
notifuse/server/internal/http/workspace_handler.go:71.68,73.2 1 1
notifuse/server/internal/http/workspace_handler.go:76.63,87.2 7 1
notifuse/server/internal/http/workspace_handler.go:89.79,90.32 1 1
notifuse/server/internal/http/workspace_handler.go:90.32,93.3 2 0
notifuse/server/internal/http/workspace_handler.go:95.2,98.16 3 1
notifuse/server/internal/http/workspace_handler.go:98.16,101.3 2 0
notifuse/server/internal/http/workspace_handler.go:103.2,103.41 1 1
notifuse/server/internal/http/workspace_handler.go:106.78,107.32 1 1
notifuse/server/internal/http/workspace_handler.go:107.32,110.3 2 0
notifuse/server/internal/http/workspace_handler.go:112.2,116.23 3 1
notifuse/server/internal/http/workspace_handler.go:116.23,119.3 2 0
notifuse/server/internal/http/workspace_handler.go:121.2,122.16 2 1
notifuse/server/internal/http/workspace_handler.go:122.16,125.3 2 0
notifuse/server/internal/http/workspace_handler.go:126.2,126.22 1 1
notifuse/server/internal/http/workspace_handler.go:126.22,129.3 2 0
notifuse/server/internal/http/workspace_handler.go:131.2,131.40 1 1
notifuse/server/internal/http/workspace_handler.go:134.81,135.33 1 1
notifuse/server/internal/http/workspace_handler.go:135.33,138.3 2 0
notifuse/server/internal/http/workspace_handler.go:140.2,143.61 3 1
notifuse/server/internal/http/workspace_handler.go:143.61,146.3 2 0
notifuse/server/internal/http/workspace_handler.go:149.2,149.18 1 1
notifuse/server/internal/http/workspace_handler.go:149.18,152.3 2 0
notifuse/server/internal/http/workspace_handler.go:154.2,155.16 2 1
notifuse/server/internal/http/workspace_handler.go:155.16,158.3 2 0
notifuse/server/internal/http/workspace_handler.go:160.2,160.45 1 1
notifuse/server/internal/http/workspace_handler.go:163.81,164.33 1 1
notifuse/server/internal/http/workspace_handler.go:164.33,167.3 2 0
notifuse/server/internal/http/workspace_handler.go:169.2,172.61 3 1
notifuse/server/internal/http/workspace_handler.go:172.61,175.3 2 0
notifuse/server/internal/http/workspace_handler.go:177.2,178.16 2 1
notifuse/server/internal/http/workspace_handler.go:178.16,181.3 2 0
notifuse/server/internal/http/workspace_handler.go:182.2,182.22 1 1
notifuse/server/internal/http/workspace_handler.go:182.22,185.3 2 0
notifuse/server/internal/http/workspace_handler.go:187.2,187.40 1 1
notifuse/server/internal/http/workspace_handler.go:190.81,191.33 1 1
notifuse/server/internal/http/workspace_handler.go:191.33,194.3 2 0
notifuse/server/internal/http/workspace_handler.go:196.2,199.61 3 1
notifuse/server/internal/http/workspace_handler.go:199.61,202.3 2 0
notifuse/server/internal/http/workspace_handler.go:204.2,205.16 2 1
notifuse/server/internal/http/workspace_handler.go:205.16,208.3 2 0
notifuse/server/internal/http/workspace_handler.go:210.2,210.69 1 1
notifuse/server/pkg/logger/logger.go:22.25,27.2 2 0
notifuse/server/pkg/logger/logger.go:29.43,31.2 1 0
notifuse/server/pkg/logger/logger.go:33.42,35.2 1 0
notifuse/server/pkg/logger/logger.go:37.42,39.2 1 0
notifuse/server/pkg/logger/logger.go:41.43,43.2 1 0
notifuse/server/pkg/logger/logger.go:45.43,47.2 1 0
notifuse/server/pkg/logger/logger.go:49.73,53.2 1 0
notifuse/server/config/config.go:54.30,56.2 1 0
notifuse/server/config/config.go:59.57,74.24 11 1
notifuse/server/config/config.go:74.24,79.17 4 1
notifuse/server/config/config.go:79.17,81.4 1 0
notifuse/server/config/config.go:83.3,86.42 3 1
notifuse/server/config/config.go:86.42,89.57 2 0
notifuse/server/config/config.go:89.57,91.5 1 0
notifuse/server/config/config.go:96.2,104.28 5 1
notifuse/server/config/config.go:104.28,106.3 1 0
notifuse/server/config/config.go:107.2,107.27 1 1
notifuse/server/config/config.go:107.27,109.3 1 0
notifuse/server/config/config.go:112.2,113.16 2 1
notifuse/server/config/config.go:113.16,115.3 1 0
notifuse/server/config/config.go:117.2,118.16 2 1
notifuse/server/config/config.go:118.16,120.3 1 0
notifuse/server/config/config.go:122.2,148.20 2 1
notifuse/server/config/config.go:152.39,154.2 1 0
notifuse/server/internal/service/auth.go:22.84,27.2 1 1
notifuse/server/internal/service/auth.go:30.110,34.26 2 1
notifuse/server/internal/service/auth.go:34.26,37.3 2 1
notifuse/server/internal/service/auth.go:38.2,38.16 1 1
notifuse/server/internal/service/auth.go:38.16,41.3 2 1
notifuse/server/internal/service/auth.go:44.2,44.34 1 1
notifuse/server/internal/service/auth.go:44.34,47.3 2 1
notifuse/server/internal/service/auth.go:50.2,52.26 2 1
notifuse/server/internal/service/auth.go:52.26,55.3 2 1
notifuse/server/internal/service/auth.go:56.2,56.16 1 1
notifuse/server/internal/service/auth.go:56.16,59.3 2 1
notifuse/server/internal/service/auth.go:61.2,61.18 1 1
notifuse/server/internal/service/user.go:37.66,39.16 2 1
notifuse/server/internal/service/user.go:39.16,40.24 1 0
notifuse/server/internal/service/user.go:40.24,42.4 1 0
notifuse/server/internal/service/user.go:43.3,43.64 1 0
notifuse/server/internal/service/user.go:46.2,47.16 2 1
notifuse/server/internal/service/user.go:47.16,48.24 1 0
notifuse/server/internal/service/user.go:48.24,50.4 1 0
notifuse/server/internal/service/user.go:51.3,51.63 1 0
notifuse/server/internal/service/user.go:54.2,61.8 1 1
notifuse/server/internal/service/user.go:91.76,94.16 2 1
notifuse/server/internal/service/user.go:94.16,95.50 1 1
notifuse/server/internal/service/user.go:95.50,98.4 2 0
notifuse/server/internal/service/user.go:101.3,107.54 2 1
notifuse/server/internal/service/user.go:107.54,110.4 2 0
notifuse/server/internal/service/user.go:114.2,128.59 5 1
notifuse/server/internal/service/user.go:128.59,131.3 2 0
notifuse/server/internal/service/user.go:134.2,134.70 1 1
notifuse/server/internal/service/user.go:134.70,137.3 2 0
notifuse/server/internal/service/user.go:139.2,139.12 1 1
notifuse/server/internal/service/user.go:142.101,145.16 2 1
notifuse/server/internal/service/user.go:145.16,148.3 2 0
notifuse/server/internal/service/user.go:151.2,152.16 2 1
notifuse/server/internal/service/user.go:152.16,155.3 2 0
notifuse/server/internal/service/user.go:158.2,159.35 2 1
notifuse/server/internal/service/user.go:159.35,160.38 1 1
notifuse/server/internal/service/user.go:160.38,162.9 2 1
notifuse/server/internal/service/user.go:166.2,166.28 1 1
notifuse/server/internal/service/user.go:166.28,169.3 2 1
notifuse/server/internal/service/user.go:172.2,172.56 1 1
notifuse/server/internal/service/user.go:172.56,175.3 2 1
notifuse/server/internal/service/user.go:178.2,181.67 3 1
notifuse/server/internal/service/user.go:181.67,184.3 2 0
notifuse/server/internal/service/user.go:187.2,193.8 2 1
notifuse/server/internal/service/user.go:196.50,200.16 3 1
notifuse/server/internal/service/user.go:200.16,203.3 2 0
notifuse/server/internal/service/user.go:206.2,208.37 3 1
notifuse/server/internal/service/user.go:212.26,214.2 1 1
notifuse/server/internal/service/user.go:216.106,226.21 9 1
notifuse/server/internal/service/user.go:226.21,228.3 1 0
notifuse/server/internal/service/user.go:230.2,230.18 1 1
notifuse/server/internal/service/user.go:234.117,237.16 2 1
notifuse/server/internal/service/user.go:237.16,240.3 2 1
notifuse/server/internal/service/user.go:243.2,243.30 1 1
notifuse/server/internal/service/user.go:243.30,246.3 2 1
notifuse/server/internal/service/user.go:249.2,249.41 1 1
notifuse/server/internal/service/user.go:249.41,252.3 2 1
notifuse/server/internal/service/user.go:255.2,256.16 2 1
notifuse/server/internal/service/user.go:256.16,259.3 2 1
notifuse/server/internal/service/user.go:261.2,261.18 1 1
notifuse/server/internal/service/user.go:265.89,269.16 2 1
notifuse/server/internal/service/user.go:269.16,270.50 1 1
notifuse/server/internal/service/user.go:270.50,273.4 2 1
notifuse/server/internal/service/user.go:276.3,282.54 2 1
notifuse/server/internal/service/user.go:282.54,285.4 2 0
notifuse/server/internal/service/user.go:289.2,297.59 3 1
notifuse/server/internal/service/user.go:297.59,300.3 2 1
notifuse/server/internal/service/user.go:303.2,304.19 2 1
notifuse/server/internal/service/user.go:308.93,310.16 2 1
notifuse/server/internal/service/user.go:310.16,313.3 2 1
notifuse/server/internal/service/user.go:314.2,314.18 1 1
notifuse/server/internal/service/workspace.go:16.99,21.2 1 1
notifuse/server/internal/service/workspace.go:24.108,26.16 2 1
notifuse/server/internal/service/workspace.go:26.16,29.3 2 1
notifuse/server/internal/service/workspace.go:32.2,32.30 1 1
notifuse/server/internal/service/workspace.go:32.30,34.3 1 1
notifuse/server/internal/service/workspace.go:36.2,37.36 2 1
notifuse/server/internal/service/workspace.go:37.36,39.17 2 1
notifuse/server/internal/service/workspace.go:39.17,42.4 2 1
notifuse/server/internal/service/workspace.go:43.3,43.45 1 1
notifuse/server/internal/service/workspace.go:46.2,46.24 1 1
notifuse/server/internal/service/workspace.go:50.115,53.16 2 1
notifuse/server/internal/service/workspace.go:53.16,56.3 2 1
notifuse/server/internal/service/workspace.go:58.2,59.16 2 1
notifuse/server/internal/service/workspace.go:59.16,62.3 2 1
notifuse/server/internal/service/workspace.go:64.2,64.23 1 1
notifuse/server/internal/service/workspace.go:68.184,81.45 2 1
notifuse/server/internal/service/workspace.go:81.45,84.3 2 1
notifuse/server/internal/service/workspace.go:86.2,86.54 1 1
notifuse/server/internal/service/workspace.go:86.54,89.3 2 1
notifuse/server/internal/service/workspace.go:92.2,100.49 2 1
notifuse/server/internal/service/workspace.go:100.49,103.3 2 0
notifuse/server/internal/service/workspace.go:105.2,105.70 1 1
notifuse/server/internal/service/workspace.go:105.70,108.3 2 1
notifuse/server/internal/service/workspace.go:110.2,110.23 1 1
notifuse/server/internal/service/workspace.go:114.183,117.16 2 1
notifuse/server/internal/service/workspace.go:117.16,120.3 2 1
notifuse/server/internal/service/workspace.go:122.2,122.35 1 1
notifuse/server/internal/service/workspace.go:122.35,125.3 2 1
notifuse/server/internal/service/workspace.go:127.2,138.45 2 1
notifuse/server/internal/service/workspace.go:138.45,141.3 2 1
notifuse/server/internal/service/workspace.go:143.2,143.54 1 1
notifuse/server/internal/service/workspace.go:143.54,146.3 2 1
notifuse/server/internal/service/workspace.go:148.2,148.23 1 1
notifuse/server/internal/service/workspace.go:152.97,155.16 2 1
notifuse/server/internal/service/workspace.go:155.16,158.3 2 1
notifuse/server/internal/service/workspace.go:160.2,160.35 1 1
notifuse/server/internal/service/workspace.go:160.35,163.3 2 1
notifuse/server/internal/service/workspace.go:165.2,165.47 1 1
notifuse/server/internal/service/workspace.go:165.47,168.3 2 1
notifuse/server/internal/service/workspace.go:170.2,170.12 1 1
notifuse/server/internal/service/workspace.go:174.142,177.16 2 1
notifuse/server/internal/service/workspace.go:177.16,180.3 2 1
notifuse/server/internal/service/workspace.go:182.2,182.40 1 1
notifuse/server/internal/service/workspace.go:182.40,185.3 2 1
notifuse/server/internal/service/workspace.go:187.2,195.49 2 1
notifuse/server/internal/service/workspace.go:195.49,198.3 2 1
notifuse/server/internal/service/workspace.go:200.2,200.70 1 1
notifuse/server/internal/service/workspace.go:200.70,203.3 2 1
notifuse/server/internal/service/workspace.go:205.2,205.12 1 1
notifuse/server/internal/service/workspace.go:209.134,212.16 2 1
notifuse/server/internal/service/workspace.go:212.16,215.3 2 1
notifuse/server/internal/service/workspace.go:217.2,217.40 1 1
notifuse/server/internal/service/workspace.go:217.40,220.3 2 1
notifuse/server/internal/service/workspace.go:223.2,223.27 1 1
notifuse/server/internal/service/workspace.go:223.27,226.3 2 1
notifuse/server/internal/service/workspace.go:228.2,228.81 1 1
notifuse/server/internal/service/workspace.go:228.81,231.3 2 1
notifuse/server/internal/service/workspace.go:233.2,233.12 1 1
notifuse/server/internal/service/workspace.go:237.135,240.16 2 1
notifuse/server/internal/service/workspace.go:240.16,243.3 2 0
notifuse/server/internal/service/workspace.go:245.2,245.43 1 1
notifuse/server/internal/service/workspace.go:245.43,248.3 2 1
notifuse/server/internal/service/workspace.go:251.2,252.16 2 1
notifuse/server/internal/service/workspace.go:252.16,255.3 2 1
notifuse/server/internal/service/workspace.go:257.2,257.40 1 1
notifuse/server/internal/service/workspace.go:257.40,260.3 2 1
notifuse/server/internal/service/workspace.go:263.2,265.74 3 1
notifuse/server/internal/service/workspace.go:265.74,268.3 2 1
notifuse/server/internal/service/workspace.go:271.2,273.78 3 1
notifuse/server/internal/service/workspace.go:273.78,276.3 2 1
notifuse/server/internal/service/workspace.go:278.2,278.12 1 1
notifuse/server/pkg/logger/logger.go:22.25,27.2 2 0
notifuse/server/pkg/logger/logger.go:29.43,31.2 1 0
notifuse/server/pkg/logger/logger.go:33.42,35.2 1 0
notifuse/server/pkg/logger/logger.go:37.42,39.2 1 0
notifuse/server/pkg/logger/logger.go:41.43,43.2 1 0
notifuse/server/pkg/logger/logger.go:45.43,47.2 1 0
notifuse/server/pkg/logger/logger.go:49.73,53.2 1 0
notifuse/server/config/config.go:54.30,56.2 1 0
notifuse/server/config/config.go:59.57,74.24 11 0
notifuse/server/config/config.go:74.24,79.17 4 0
notifuse/server/config/config.go:79.17,81.4 1 0
notifuse/server/config/config.go:83.3,86.42 3 0
notifuse/server/config/config.go:86.42,89.57 2 0
notifuse/server/config/config.go:89.57,91.5 1 0
notifuse/server/config/config.go:96.2,104.28 5 0
notifuse/server/config/config.go:104.28,106.3 1 0
notifuse/server/config/config.go:107.2,107.27 1 0
notifuse/server/config/config.go:107.27,109.3 1 0
notifuse/server/config/config.go:112.2,113.16 2 0
notifuse/server/config/config.go:113.16,115.3 1 0
notifuse/server/config/config.go:117.2,118.16 2 0
notifuse/server/config/config.go:118.16,120.3 1 0
notifuse/server/config/config.go:122.2,148.20 2 0
notifuse/server/config/config.go:152.39,154.2 1 0
notifuse/server/internal/repository/auth_repository.go:18.80,23.2 1 1
notifuse/server/internal/repository/auth_repository.go:26.118,33.16 3 1
notifuse/server/internal/repository/auth_repository.go:33.16,35.3 1 1
notifuse/server/internal/repository/auth_repository.go:37.2,37.24 1 1
notifuse/server/internal/repository/auth_repository.go:41.99,48.16 3 1
notifuse/server/internal/repository/auth_repository.go:48.16,50.3 1 1
notifuse/server/internal/repository/auth_repository.go:52.2,52.19 1 1
notifuse/server/internal/repository/mock_helper.go:12.67,16.20 3 1
notifuse/server/internal/repository/mock_helper.go:16.20,18.3 1 1
